Step,A2C_1,A2C_2,A2C_3,A2C_4,A2C_5,A2C_6,A2C_7,A2C_8,A2C_9,A2C_10,A2C_11,A2C_12,A2C_13,A2C_14,A2C_15,A2C_16,A2C_17,A2C_18,A2C_19,A2C_20
4000,56.06999969482422,62.459999084472656,50.61000061035156,48.720001220703125,51.790000915527344,37.88999938964844,56.02000045776367,50.16999816894531,42.91999816894531,48.33000183105469,50.13999938964844,54.02999877929688,44.27000045776367,48.38999938964844,28.1200008392334,49.619998931884766,47.45000076293945,45.70000076293945,39.5,48.709999084472656
8000,121.44000244140624,143.0500030517578,110.58999633789062,68.13999938964844,123.6500015258789,69.51000213623047,71.20999908447266,89.4800033569336,64.0999984741211,121.8000030517578,118.12000274658205,152.5399932861328,65.8499984741211,130.27999877929688,69.87999725341797,105.61000061035156,77.11000061035156,67.37999725341797,92.23999786376952,70.08000183105469
12000,154.99000549316406,187.33999633789065,182.9600067138672,132.10000610351562,171.75,150.0,73.19000244140625,112.0,121.2300033569336,192.6199951171875,186.1199951171875,163.14999389648438,112.51000213623048,171.8300018310547,75.54000091552734,155.55999755859375,169.47000122070312,125.27999877929688,163.99000549316406,72.87999725341797
16000,165.27999877929688,195.77999877929688,202.97000122070312,175.66000366210938,183.9900054931641,185.4900054931641,75.38999938964844,137.5800018310547,173.3000030517578,202.1199951171875,201.92999267578125,172.3000030517578,177.30999755859375,198.25999450683597,77.36000061035156,175.47000122070312,194.72000122070312,157.07000732421875,194.3999938964844,76.63999938964844
20000,172.8699951171875,208.16000366210935,220.50999450683597,185.6199951171875,200.97999572753903,218.47999572753903,77.66999816894531,151.4199981689453,186.27999877929688,222.07000732421875,217.9600067138672,176.61000061035156,186.67999267578125,206.44000244140625,113.94000244140624,188.1999969482422,207.8300018310547,163.4499969482422,212.9900054931641,76.87000274658203
24000,174.89999389648438,220.4499969482422,222.1300048828125,202.8000030517578,215.22999572753903,220.08999633789065,206.5,161.91000366210938,186.6000061035156,221.1100006103516,225.3800048828125,180.1199951171875,217.08999633789065,211.4600067138672,193.0,198.5200042724609,202.1300048828125,167.9600067138672,220.66000366210935,169.17999267578125
28000,176.72000122070312,223.3000030517578,226.32000732421875,214.77999877929688,221.67999267578125,220.3000030517578,224.88999938964844,179.52000427246094,188.8999938964844,225.8999938964844,227.0399932861328,184.3699951171875,216.82000732421875,213.92999267578125,213.3699951171875,203.1999969482422,224.9900054931641,172.0,222.2899932861328,199.92999267578125
32000,176.92999267578125,222.0500030517578,230.19000244140625,226.5200042724609,228.25,218.25999450683597,229.6000061035156,189.7400054931641,188.5500030517578,228.1300048828125,231.0,185.7700042724609,217.02999877929688,222.27999877929688,222.00999450683597,209.67999267578125,223.3000030517578,172.0,227.4600067138672,217.67999267578125
36000,183.07000732421875,227.7400054931641,229.97999572753903,226.5200042724609,226.6999969482422,217.47000122070312,228.72000122070312,199.3600006103516,190.0,228.8500061035156,228.50999450683597,187.02999877929688,217.02999877929688,222.27999877929688,227.1999969482422,215.27999877929688,230.3800048828125,173.77000427246094,225.32000732421875,226.3000030517578
40000,185.44000244140625,227.7400054931641,229.97999572753903,225.57000732421875,227.9199981689453,217.47000122070312,227.66000366210935,204.08999633789065,189.6300048828125,230.1699981689453,231.0,186.08999633789065,217.02999877929688,225.4600067138672,230.00999450683597,217.7899932861328,230.7899932861328,173.77000427246094,225.47999572753903,230.5800018310547
