Step,A2C_1,A2C_2,A2C_3,A2C_4,A2C_5,A2C_6,A2C_7,A2C_8,A2C_9,A2C_10,A2C_11,A2C_12,A2C_13,A2C_14,A2C_15,A2C_16,A2C_17,A2C_18,A2C_19,A2C_20
4000,7.119999885559082,16.510000228881836,16.09000015258789,6.889999866485596,5.760000228881836,29.43000030517578,16.979999542236328,9.010000228881836,8.180000305175781,21.989999771118164,32.91999816894531,19.1299991607666,6.099999904632568,8.170000076293945,16.229999542236328,10.31999969482422,39.65999984741211,5.940000057220459,25.350000381469727,14.289999961853027
8000,46.11000061035156,66.08999633789062,114.1999969482422,43.470001220703125,6.139999866485596,70.9000015258789,62.34999847412109,58.4900016784668,98.5500030517578,111.79000091552734,68.38999938964844,107.33999633789062,6.670000076293945,68.69999694824219,102.20999908447266,66.83999633789062,82.11000061035156,27.76000022888184,111.12999725341795,68.8499984741211
12000,66.55000305175781,151.39999389648438,175.57000732421875,124.87000274658205,37.5,77.27999877929688,74.75,73.83999633789062,175.83999633789062,173.25999450683594,73.08999633789062,129.19000244140625,5.949999809265137,151.38999938964844,176.57000732421875,166.08999633789062,191.17999267578125,65.75,125.02999877929688,75.0199966430664
16000,76.58999633789062,175.41000366210938,193.4199981689453,149.91000366210938,67.36000061035156,77.25,75.19000244140625,75.05999755859375,186.47000122070312,198.75999450683597,74.45999908447266,137.10000610351562,6.0,163.33999633789062,195.4199981689453,199.7899932861328,207.4600067138672,76.12999725341797,129.67999267578125,74.22000122070312
20000,76.91999816894531,182.69000244140625,205.72000122070312,164.89999389648438,75.80999755859375,78.0,76.4800033569336,77.25,188.94000244140625,208.97000122070312,77.2300033569336,140.3300018310547,6.71999979019165,169.77999877929688,204.19000244140625,209.0399932861328,207.3300018310547,75.3499984741211,150.86000061035156,78.0
24000,78.0,185.6100006103516,212.6300048828125,169.47999572753906,76.52999877929688,78.0,77.16000366210938,77.2300033569336,189.0399932861328,219.3800048828125,78.0,142.63999938964844,6.0,173.74000549316406,214.1999969482422,215.8699951171875,207.9600067138672,78.0,156.58999633789062,78.0
28000,78.0,184.19000244140625,217.8600006103516,183.2899932861328,77.25,78.0,77.25,78.0,192.0399932861328,220.22000122070312,76.81999969482422,144.66000366210938,6.71999979019165,177.5800018310547,222.33999633789065,219.13999938964844,208.9499969482422,78.0,163.75999450683594,78.0
32000,78.0,186.42999267578125,217.6499938964844,182.5800018310547,74.83999633789062,78.0,78.0,78.0,191.4600067138672,220.63999938964844,78.0,144.66000366210938,84.66000366210938,179.02000427246094,225.16000366210935,219.3500061035156,210.0,76.83999633789062,167.0399932861328,78.0
36000,78.0,186.83999633789065,214.6499938964844,182.5800018310547,78.0,78.0,78.0,78.0,191.4600067138672,220.8500061035156,78.0,144.66000366210938,114.37000274658205,183.5200042724609,227.22999572753903,219.3500061035156,210.0,116.45999908447266,167.44000244140625,78.0
40000,77.2300033569336,188.7700042724609,215.8800048828125,182.5800018310547,78.0,78.0,78.0,78.0,193.42999267578125,223.72999572753903,78.0,144.66000366210938,131.9499969482422,185.72999572753903,227.22999572753903,223.58999633789065,207.92999267578125,119.58000183105467,169.9199981689453,78.0
44000,78.0,189.17999267578125,218.1300048828125,185.3000030517578,78.0,78.26000213623047,78.0,78.0,193.42999267578125,223.72999572753903,78.0,145.44000244140625,133.33999633789062,185.72999572753903,227.22999572753903,225.9600067138672,206.8500061035156,119.70999908447266,163.92999267578125,77.5
48000,78.0,189.17999267578125,218.1300048828125,196.7400054931641,78.0,119.29000091552734,78.0,78.0,193.42999267578125,223.72999572753903,78.0,145.44000244140625,134.0800018310547,185.72999572753903,228.5500030517578,225.9600067138672,209.1000061035156,120.0,164.3000030517578,78.0
52000,78.0,189.9199981689453,219.4499969482422,204.2400054931641,78.0,119.29000091552734,78.0,78.0,193.42999267578125,216.50999450683597,78.0,150.1199951171875,135.52999877929688,185.72999572753903,228.5500030517578,225.75,210.0,120.0,166.50999450683594,78.0
56000,78.0,134.13999938964844,219.4499969482422,210.0,78.0,119.58000183105467,78.0,78.0,193.63999938964844,216.50999450683597,78.0,150.1199951171875,136.0,185.72999572753903,228.5500030517578,225.9600067138672,210.0,119.58000183105467,175.22999572753906,77.27999877929688
