Step,A2C_1,A2C_2,A2C_3,A2C_4,A2C_5,A2C_6,A2C_7,A2C_8,A2C_9,A2C_10,A2C_11,A2C_12,A2C_13,A2C_14,A2C_15,A2C_16,A2C_17,A2C_18,A2C_19,A2C_20
4000,2.990000009536743,3.3399999141693115,2.6600000858306885,3.059999942779541,2.950000047683716,3.700000047683716,3.5,2.819999933242798,3.4200000762939453,3.359999895095825,2.990000009536743,2.5199999809265137,2.930000066757202,3.4600000381469727,3.150000095367432,3.150000095367432,3.289999961853028,3.25,3.1600000858306885,3.569999933242798
8000,4.5,5.130000114440918,4.150000095367432,3.740000009536743,5.329999923706055,6.550000190734863,4.389999866485596,3.309999942779541,4.25,4.980000019073486,5.010000228881836,4.059999942779541,4.210000038146973,4.96999979019165,5.079999923706055,4.150000095367432,4.78000020980835,5.510000228881836,4.909999847412109,3.869999885559082
12000,5.119999885559082,7.699999809265137,6.269999980926514,4.199999809265137,7.889999866485596,11.260000228881836,5.639999866485596,5.659999847412109,5.940000057220459,7.119999885559082,5.670000076293945,4.820000171661377,5.639999866485596,6.409999847412109,8.170000076293945,5.139999866485596,6.809999942779541,7.199999809265137,7.309999942779541,5.760000228881836
16000,9.43000030517578,13.710000038146973,13.170000076293944,7.300000190734863,14.420000076293944,29.299999237060547,9.100000381469728,9.010000228881836,7.019999980926514,13.020000457763672,8.539999961853027,7.039999961853027,8.779999732971191,11.520000457763672,21.020000457763672,9.789999961853027,13.520000457763672,14.279999732971191,11.460000038146973,11.850000381469728
20000,21.84000015258789,30.280000686645508,41.59999847412109,15.93000030517578,36.11000061035156,49.869998931884766,22.40999984741211,17.889999389648438,12.350000381469728,34.95000076293945,15.020000457763672,11.850000381469728,14.220000267028809,24.31999969482422,41.16999816894531,20.899999618530277,34.47999954223633,38.09999847412109,32.189998626708984,30.950000762939453
24000,38.20000076293945,52.060001373291016,56.38999938964844,28.540000915527344,78.66999816894531,68.98999786376953,38.060001373291016,27.979999542236328,30.059999465942383,61.040000915527344,27.46999931335449,28.350000381469727,31.149999618530277,42.58000183105469,82.83999633789062,42.88999938964844,53.84999847412109,60.41999816894531,62.0099983215332,45.97999954223633
28000,58.810001373291016,58.650001525878906,66.16999816894531,69.86000061035156,102.63999938964844,101.19000244140624,56.75,76.95999908447266,48.31999969482422,91.97000122070312,49.91999816894531,49.540000915527344,43.93999862670898,50.56999969482422,100.6500015258789,54.93999862670898,89.22000122070312,66.5,77.05999755859375,58.84000015258789
32000,63.52000045776367,73.11000061035156,69.05999755859375,102.81999969482422,137.55999755859375,150.25999450683594,85.94999694824219,107.48999786376952,56.97999954223633,123.29000091552734,78.27999877929688,83.95999908447266,63.880001068115234,61.70000076293945,131.8300018310547,69.19999694824219,129.57000732421875,71.2699966430664,96.1999969482422,97.52999877929688
36000,68.22000122070312,105.33999633789062,74.58999633789062,131.88999938964844,165.08999633789062,171.22999572753906,121.94000244140624,127.75,68.33999633789062,155.57000732421875,106.38999938964844,124.69000244140624,67.69999694824219,66.4000015258789,164.1699981689453,66.56999969482422,161.9600067138672,73.29000091552734,136.4199981689453,156.50999450683594
40000,72.68000030517578,148.92999267578125,73.41000366210938,171.69000244140625,182.2100067138672,180.58999633789065,152.25999450683594,158.2100067138672,74.01000213623047,163.22999572753906,143.4600067138672,149.1699981689453,73.83999633789062,71.66000366210938,163.44000244140625,73.12000274658203,167.08999633789062,72.1500015258789,163.1999969482422,163.27000427246094
