Step,A2C_1,A2C_2,A2C_3,A2C_4,A2C_5,A2C_6,A2C_7,A2C_8,A2C_9,A2C_10,A2C_11,A2C_12,A2C_13,A2C_14,A2C_15,A2C_16,A2C_17,A2C_18,A2C_19,A2C_20
4000,3.930000066757202,4.360000133514404,4.400000095367432,3.809999942779541,4.199999809265137,3.5899999141693115,4.760000228881836,4.320000171661377,5.670000076293945,3.829999923706055,4.599999904632568,3.880000114440918,4.340000152587891,3.5199999809265137,3.7699999809265137,4.659999847412109,3.9800000190734863,3.0,3.910000085830689,3.450000047683716
8000,7.630000114440918,12.630000114440918,7.110000133514404,7.110000133514404,9.109999656677246,7.800000190734863,7.789999961853027,8.140000343322754,8.100000381469727,9.039999961853027,8.630000114440918,7.570000171661377,7.960000038146973,9.920000076293944,6.570000171661377,6.980000019073486,8.729999542236328,6.679999828338623,9.380000114440918,7.420000076293945
12000,16.700000762939453,31.63999938964844,15.630000114440918,15.399999618530272,25.84000015258789,14.68000030517578,12.0600004196167,21.170000076293945,19.86000061035156,19.8799991607666,17.450000762939453,15.670000076293944,18.61000061035156,18.81999969482422,14.210000038146973,14.960000038146973,20.25,12.670000076293944,16.1299991607666,12.770000457763672
16000,29.540000915527344,52.16999816894531,35.279998779296875,30.76000022888184,40.54999923706055,18.65999984741211,38.0,44.810001373291016,40.7400016784668,39.90999984741211,44.68999862670898,36.41999816894531,36.4900016784668,42.61000061035156,36.150001525878906,36.619998931884766,36.400001525878906,30.38999938964844,33.209999084472656,34.599998474121094
20000,54.58000183105469,62.970001220703125,57.4900016784668,48.709999084472656,59.52999877929688,46.90999984741211,53.31999969482422,74.54000091552734,57.34999847412109,66.38999938964844,59.11000061035156,64.16999816894531,55.29999923706055,55.90999984741211,49.20000076293945,52.52000045776367,61.720001220703125,47.20000076293945,53.61000061035156,50.9900016784668
24000,83.4000015258789,82.8499984741211,63.68000030517578,79.69999694824219,86.98999786376953,64.69000244140625,66.33000183105469,89.94999694824219,65.77999877929688,85.47000122070312,85.19000244140625,103.1500015258789,67.33000183105469,62.95000076293945,76.52999877929688,63.38999938964844,88.87999725341797,66.30000305175781,72.19999694824219,62.72999954223633
28000,119.1500015258789,114.1500015258789,73.61000061035156,99.37000274658205,94.63999938964844,92.2699966430664,67.41000366210938,116.87000274658205,68.69000244140625,128.6199951171875,128.52999877929688,147.5,67.01000213623047,70.7300033569336,89.7699966430664,85.08000183105469,119.73999786376952,69.4000015258789,118.44000244140624,69.2300033569336
32000,154.72999572753906,162.4199981689453,100.37000274658205,155.7899932861328,144.6199951171875,112.95999908447266,73.63999938964844,151.17999267578125,83.55000305175781,160.8300018310547,156.0500030517578,168.8300018310547,71.83000183105469,71.04000091552734,114.5,129.55999755859375,151.57000732421875,72.91999816894531,148.99000549316406,69.97000122070312
36000,183.6000061035156,167.49000549316406,138.50999450683594,174.1699981689453,155.7899932861328,165.0,110.44000244140624,169.60000610351562,118.38999938964844,181.4600067138672,167.08999633789062,176.8000030517578,72.94000244140625,76.68000030517578,167.67999267578125,159.52000427246094,185.22999572753903,73.62000274658203,169.8300018310547,76.37000274658203
40000,192.1000061035156,192.5399932861328,166.52000427246094,184.4199981689453,167.57000732421875,177.61000061035156,150.3300018310547,166.8300018310547,157.1999969482422,197.97999572753903,176.72999572753906,192.27999877929688,74.9000015258789,73.8499984741211,178.17999267578125,182.7899932861328,195.72999572753903,75.77999877929688,173.10000610351562,74.0
44000,205.5800018310547,204.6699981689453,181.97000122070312,197.0500030517578,172.92999267578125,182.1699981689453,166.50999450683594,186.25999450683597,182.7100067138672,204.91000366210935,198.88999938964844,202.42999267578125,108.76000213623048,77.26000213623047,196.5500030517578,184.7400054931641,199.7100067138672,76.9000015258789,190.4199981689453,75.41999816894531
48000,205.38999938964844,214.8800048828125,185.7899932861328,204.1000061035156,174.39999389648438,186.6499938964844,173.13999938964844,183.77999877929688,197.63999938964844,205.6000061035156,201.57000732421875,200.57000732421875,140.1199951171875,78.5199966430664,194.38999938964844,189.50999450683597,205.8699951171875,77.43000030517578,202.0800018310547,76.08000183105469
52000,212.9600067138672,219.44000244140625,184.1300048828125,210.77999877929688,179.27999877929688,191.08999633789065,183.9199981689453,190.0,211.5399932861328,206.1699981689453,202.4499969482422,202.63999938964844,149.50999450683594,128.60000610351562,203.5399932861328,194.0800018310547,205.6499938964844,76.55000305175781,212.25,78.0
56000,218.8600006103516,220.3600006103516,187.7400054931641,218.94000244140625,185.55999755859372,201.1699981689453,189.08999633789065,186.52999877929688,215.7700042724609,207.58999633789065,203.7899932861328,204.2400054931641,150.92999267578125,199.4600067138672,207.50999450683597,196.8600006103516,212.07000732421875,77.29000091552734,216.8600006103516,78.0
60000,220.3999938964844,222.30999755859372,194.3300018310547,215.08999633789065,186.22000122070312,215.1999969482422,193.6499938964844,188.92999267578125,218.33999633789065,211.27999877929688,208.17999267578125,204.2700042724609,154.47999572753906,208.33999633789065,208.8999938964844,198.88999938964844,215.5500030517578,78.0,220.41000366210935,77.25
64000,222.6499938964844,219.8300018310547,200.41000366210935,213.1699981689453,193.8999938964844,224.8500061035156,195.8500061035156,190.0,218.2400054931641,215.02999877929688,208.80999755859372,214.6300048828125,164.9199981689453,218.32000732421875,210.0,197.47999572753903,220.22999572753903,78.0,222.92999267578125,76.5999984741211
68000,228.8999938964844,221.19000244140625,210.8999938964844,216.97999572753903,196.4600067138672,227.4499969482422,202.16000366210935,190.0,221.77999877929688,218.72000122070312,209.25999450683597,221.58999633789065,154.1699981689453,222.82000732421875,210.0,197.82000732421875,222.72999572753903,77.58000183105469,223.8600006103516,77.31999969482422
72000,229.1100006103516,220.72000122070312,215.4600067138672,218.3500061035156,200.9499969482422,226.47000122070312,204.1000061035156,189.80999755859372,223.52999877929688,218.72000122070312,209.6100006103516,225.9499969482422,147.8699951171875,220.1100006103516,208.9600067138672,198.44000244140625,225.0800018310547,78.0,221.6100006103516,78.0
76000,222.42999267578125,221.3000030517578,218.8800048828125,219.9600067138672,203.57000732421875,227.3500061035156,210.0399932861328,189.08999633789065,224.08999633789065,220.5399932861328,208.80999755859372,226.08999633789065,150.80999755859375,223.0500030517578,209.25999450683597,200.3000030517578,226.80999755859372,78.0,223.9900054931641,78.0
80000,220.5399932861328,219.22000122070312,220.9499969482422,220.5399932861328,207.52999877929688,226.4499969482422,211.63999938964844,189.6300048828125,223.8800048828125,220.75,208.4499969482422,224.8000030517578,152.49000549316406,228.69000244140625,210.0,202.72999572753903,225.97000122070312,78.0,222.02999877929688,77.25
84000,220.9600067138672,225.1199951171875,227.4499969482422,219.33999633789065,209.77999877929688,221.72999572753903,214.05999755859372,190.0,222.88999938964844,221.4900054931641,208.17999267578125,221.47999572753903,151.82000732421875,227.22000122070312,208.0,204.33999633789065,221.69000244140625,78.0,217.1999969482422,78.0
88000,224.7100067138672,223.58999633789065,226.80999755859372,219.3800048828125,213.8000030517578,219.52999877929688,215.8800048828125,190.0,222.97999572753903,222.8000030517578,208.1100006103516,221.58999633789065,151.47999572753906,226.3000030517578,208.0,205.2899932861328,220.47999572753903,78.0,214.1699981689453,78.0
92000,223.66000366210935,224.1300048828125,222.19000244140625,219.3800048828125,214.5800018310547,222.38999938964844,218.0399932861328,190.0,222.1300048828125,224.22000122070312,207.5399932861328,221.4900054931641,151.7100067138672,224.08999633789065,210.0,206.4499969482422,218.8000030517578,78.0,213.9600067138672,78.0
96000,222.41000366210935,223.0800018310547,220.8600006103516,219.94000244140625,217.22000122070312,221.6100006103516,219.50999450683597,186.5399932861328,220.30999755859372,223.44000244140625,210.0,222.80999755859372,149.05999755859375,222.41000366210935,207.91000366210935,209.44000244140625,218.1699981689453,77.27999877929688,214.32000732421875,78.0
100000,220.8699951171875,225.1199951171875,226.8999938964844,220.3600006103516,217.22000122070312,221.8800048828125,219.50999450683597,190.0,221.1999969482422,222.6100006103516,210.0,223.22999572753903,150.35000610351562,222.41000366210935,207.9600067138672,211.88999938964844,215.2400054931641,78.0,214.52999877929688,78.0
104000,220.4499969482422,224.4900054931641,229.7700042724609,220.3600006103516,220.80999755859372,220.9199981689453,219.2400054931641,190.0,220.77999877929688,221.7700042724609,210.0,222.17999267578125,151.13999938964844,224.4900054931641,208.0,212.6999969482422,219.4600067138672,78.0,216.77999877929688,77.27999877929688
108000,221.07000732421875,226.8000030517578,227.25,221.75999450683597,220.80999755859372,219.94000244140625,219.02999877929688,190.0,220.57000732421875,221.7700042724609,210.0,222.6000061035156,153.0,221.1300048828125,210.0,214.1100006103516,219.8800048828125,78.0,221.1300048828125,78.0
112000,221.27999877929688,225.9600067138672,227.25,221.1300048828125,220.6000061035156,221.8300018310547,219.92999267578125,190.0,219.41000366210935,221.13999938964844,210.0,222.6000061035156,151.05999755859375,222.17999267578125,210.0,214.1100006103516,220.08999633789065,78.0,220.7100067138672,78.0
116000,222.17999267578125,225.9600067138672,226.6300048828125,220.7100067138672,220.5,221.6100006103516,218.8800048828125,189.4600067138672,220.6000061035156,220.72000122070312,207.4900054931641,222.6000061035156,152.66000366210938,222.80999755859372,210.0,214.32000732421875,221.1300048828125,78.0,220.9199981689453,78.0
120000,221.75999450683597,224.8000030517578,229.9600067138672,220.7100067138672,220.5,220.7700042724609,219.72000122070312,190.0,219.5500030517578,220.72000122070312,210.0,223.22999572753903,152.6699981689453,224.27999877929688,209.8000030517578,215.7899932861328,221.5500030517578,78.0,220.9199981689453,78.0
124000,222.38999938964844,223.88999938964844,230.3800048828125,220.2899932861328,223.07000732421875,222.8800048828125,219.08999633789065,189.3000030517578,220.17999267578125,219.88999938964844,209.25999450683597,223.8600006103516,150.88999938964844,224.27999877929688,207.92999267578125,219.0800018310547,220.3500061035156,78.0,221.5500030517578,77.31999969482422
128000,222.80999755859372,226.58999633789065,230.58999633789065,221.33999633789065,223.07000732421875,221.72000122070312,217.8999938964844,190.0,221.0200042724609,219.25,210.0,221.2100067138672,151.85000610351562,224.07000732421875,210.0,219.8500061035156,220.13999938964844,78.12999725341797,219.47999572753903,78.0
132000,222.6000061035156,224.97000122070312,230.7899932861328,222.80999755859372,221.97000122070312,223.6499938964844,217.8999938964844,190.0,220.6499938964844,219.25,210.0,224.07000732421875,152.52000427246094,224.27999877929688,210.0,221.44000244140625,220.3500061035156,78.0,219.2700042724609,78.0
136000,219.8999938964844,225.1199951171875,231.0,225.1199951171875,220.6499938964844,221.97000122070312,218.5399932861328,188.16000366210935,220.8600006103516,219.25,209.6000061035156,225.1199951171875,153.0,224.4900054931641,208.67999267578125,222.6199951171875,220.3500061035156,78.0,219.69000244140625,78.0
140000,219.69000244140625,224.6499938964844,231.0,225.19000244140625,222.1199951171875,222.0,218.5399932861328,190.0,220.6499938964844,219.4600067138672,210.00999450683597,224.91000366210935,152.8300018310547,222.17999267578125,210.0,222.30999755859372,221.5500030517578,78.0,218.7899932861328,78.0
144000,223.44000244140625,226.0200042724609,231.0,224.55999755859372,223.6499938964844,223.92999267578125,218.3300018310547,190.0,221.55999755859372,219.25,206.7400054931641,224.91000366210935,153.0,221.69000244140625,210.0,224.6999969482422,221.75999450683597,78.0,221.07000732421875,78.0
148000,224.27999877929688,225.1199951171875,231.0,227.8500061035156,221.75999450683597,222.4499969482422,217.63999938964844,190.0,223.0200042724609,219.4600067138672,210.0,225.3300018310547,153.0,222.1199951171875,210.0,224.07000732421875,221.33999633789065,78.0,223.6499938964844,78.0
