Step,A2C_1,A2C_2,A2C_3,A2C_4,A2C_5,A2C_6,A2C_7,A2C_8,A2C_9,A2C_10,A2C_11,A2C_12,A2C_13,A2C_14,A2C_15,A2C_16,A2C_17,A2C_18,A2C_19,A2C_20
4000,9.039999961853027,8.180000305175781,7.739999771118164,7.610000133514404,9.960000038146973,9.649999618530272,8.859999656677246,10.40999984741211,8.970000267028809,9.75,9.380000114440918,9.359999656677246,8.619999885559082,11.380000114440918,10.510000228881836,9.81999969482422,9.93000030517578,8.899999618530273,11.380000114440918,10.619999885559082
8000,11.420000076293944,11.40999984741211,10.890000343322754,11.380000114440918,11.470000267028809,13.390000343322754,11.609999656677246,14.699999809265137,12.039999961853027,11.829999923706056,12.300000190734863,12.25,11.329999923706056,14.100000381469728,13.489999771118164,14.420000076293944,11.640000343322754,12.369999885559082,14.18000030517578,14.289999961853027
12000,12.470000267028809,12.5,11.600000381469728,12.199999809265137,11.329999923706056,14.029999732971191,13.520000457763672,14.850000381469728,14.43000030517578,12.779999732971191,13.09000015258789,13.979999542236328,12.609999656677246,14.699999809265137,14.739999771118164,14.550000190734863,11.779999732971191,12.0600004196167,14.550000190734863,14.600000381469728
16000,12.510000228881836,12.75,12.600000381469728,12.770000457763672,11.1899995803833,14.4399995803833,14.109999656677246,15.0,14.329999923706056,13.109999656677246,14.170000076293944,14.90999984741211,14.270000457763672,14.720000267028809,15.0,14.90999984741211,12.75,14.130000114440918,14.81999969482422,14.90999984741211
20000,13.0600004196167,12.239999771118164,12.25,12.5600004196167,11.729999542236328,14.859999656677246,14.90999984741211,15.0,14.539999961853027,12.300000190734863,14.770000457763672,14.859999656677246,14.81999969482422,15.0,14.859999656677246,14.949999809265137,14.789999961853027,13.81999969482422,15.0,15.0
24000,12.869999885559082,13.289999961853027,12.300000190734863,13.380000114440918,11.989999771118164,14.789999961853027,14.699999809265137,15.0,14.859999656677246,13.229999542236328,14.4399995803833,14.630000114440918,14.90999984741211,14.859999656677246,15.0,14.90999984741211,15.0,14.770000457763672,14.880000114440918,15.0
28000,12.119999885559082,12.739999771118164,13.109999656677246,13.199999809265137,10.68000030517578,14.720000267028809,14.399999618530272,14.880000114440918,14.90999984741211,12.880000114440918,14.68000030517578,14.699999809265137,15.0,14.880000114440918,14.859999656677246,15.0,15.0,14.649999618530272,15.0,15.0
32000,12.84000015258789,13.020000457763672,12.84000015258789,12.479999542236328,11.25,14.859999656677246,14.770000457763672,15.0,14.489999771118164,12.520000457763672,14.90999984741211,14.90999984741211,14.859999656677246,15.0,15.0,14.949999809265137,15.0,14.859999656677246,15.0,14.90999984741211
36000,13.420000076293944,13.020000457763672,12.520000457763672,12.65999984741211,12.420000076293944,14.859999656677246,14.90999984741211,14.949999809265137,14.68000030517578,12.479999542236328,14.949999809265137,14.630000114440918,14.859999656677246,14.59000015258789,14.949999809265137,15.0,14.880000114440918,14.90999984741211,14.880000114440918,15.0
40000,12.93000030517578,12.84000015258789,13.109999656677246,13.020000457763672,14.010000228881836,15.0,14.859999656677246,14.859999656677246,14.859999656677246,12.75,14.949999809265137,14.770000457763672,15.0,15.0,15.0,15.0,14.90999984741211,15.0,15.0,15.0
