Step,PPO_1,PPO_2,PPO_3,PPO_4,PPO_5,PPO_6,PPO_7,PPO_8,PPO_9,PPO_10,PPO_11,PPO_12,PPO_13,PPO_14,PPO_15,PPO_16,PPO_17,PPO_18,PPO_19,PPO_20
16384,5.050000190734863,4.5,5.199999809265137,4.46999979019165,4.769999980926514,4.96999979019165,5.239999771118164,5.369999885559082,5.340000152587891,5.130000114440918,4.619999885559082,5.050000190734863,4.510000228881836,5.260000228881836,4.21999979019165,4.829999923706055,5.010000228881836,5.039999961853027,4.789999961853027,4.199999809265137
32768,6.320000171661377,5.050000190734863,6.03000020980835,5.559999942779541,6.489999771118164,6.099999904632568,6.309999942779541,6.300000190734863,6.019999980926514,5.329999923706055,5.820000171661377,6.5,6.130000114440918,6.5,6.510000228881836,6.420000076293945,6.360000133514404,6.849999904632568,5.760000228881836,6.21999979019165
49152,8.239999771118164,7.690000057220459,8.34000015258789,8.8100004196167,8.449999809265137,8.640000343322754,8.300000190734863,9.5600004196167,7.539999961853027,8.800000190734863,8.760000228881836,9.220000267028809,8.329999923706055,8.350000381469727,8.640000343322754,8.289999961853027,9.59000015258789,8.470000267028809,8.869999885559082,8.1899995803833
65536,11.979999542236328,11.90999984741211,11.90999984741211,11.670000076293944,12.010000228881836,12.109999656677246,11.359999656677246,12.0,12.15999984741211,12.0,11.729999542236328,12.149999618530272,12.649999618530272,11.520000457763672,10.140000343322754,12.460000038146973,12.15999984741211,11.359999656677246,11.970000267028809,11.40999984741211
81920,13.720000267028809,13.350000381469728,13.880000114440918,13.789999961853027,13.630000114440918,13.989999771118164,13.890000343322754,13.850000381469728,13.630000114440918,13.489999771118164,13.989999771118164,13.630000114440918,13.59000015258789,14.609999656677246,13.609999656677246,13.529999732971191,13.9399995803833,13.75,13.93000030517578,13.890000343322754
98304,14.609999656677246,14.300000190734863,14.34000015258789,14.770000457763672,13.8100004196167,14.460000038146973,14.100000381469728,14.619999885559082,14.68000030517578,14.15999984741211,14.600000381469728,14.420000076293944,14.359999656677246,14.18000030517578,14.279999732971191,14.710000038146973,14.380000114440918,14.600000381469728,14.550000190734863,14.4399995803833
114688,14.710000038146973,14.630000114440918,14.670000076293944,14.770000457763672,14.710000038146973,14.68000030517578,14.850000381469728,14.899999618530272,14.720000267028809,14.899999618530272,15.0,14.59000015258789,14.770000457763672,14.56999969482422,14.949999809265137,14.859999656677246,14.90999984741211,14.8100004196167,14.8100004196167,14.899999618530272
131072,14.880000114440918,14.550000190734863,14.039999961853027,15.0,13.640000343322754,14.90999984741211,14.34000015258789,15.0,15.0,14.68000030517578,14.649999618530272,12.15999984741211,14.90999984741211,14.850000381469728,14.899999618530272,13.5,10.579999923706056,14.40999984741211,12.880000114440918,14.770000457763672
147456,13.010000228881836,14.510000228881836,14.4399995803833,10.920000076293944,14.539999961853027,12.43000030517578,14.8100004196167,14.649999618530272,11.84000015258789,14.949999809265137,14.06999969482422,13.640000343322754,14.579999923706056,13.470000267028809,14.380000114440918,14.859999656677246,11.520000457763672,14.369999885559082,14.479999542236328,14.550000190734863
163840,14.199999809265137,12.75,14.949999809265137,11.619999885559082,11.170000076293944,13.010000228881836,10.710000038146973,14.859999656677246,13.93000030517578,12.43000030517578,14.859999656677246,14.100000381469728,14.949999809265137,14.68000030517578,14.899999618530272,15.0,14.18000030517578,14.18000030517578,12.31999969482422,14.100000381469728
