Step,PPO_1,PPO_2,PPO_3,PPO_4,PPO_5,PPO_6,PPO_7,PPO_8,PPO_9,PPO_10,PPO_11,PPO_12,PPO_13,PPO_14,PPO_15,PPO_16,PPO_17,PPO_18,PPO_19,PPO_20
16384,5.150000095367432,4.53000020980835,4.96999979019165,4.449999809265137,3.990000009536743,4.940000057220459,4.710000038146973,5.010000228881836,5.150000095367432,4.869999885559082,5.210000038146973,5.150000095367432,4.670000076293945,3.549999952316284,5.010000228881836,4.400000095367432,3.7200000286102295,4.619999885559082,4.610000133514404,5.019999980926514
32768,6.110000133514404,6.210000038146973,5.889999866485596,6.119999885559082,6.070000171661377,5.809999942779541,6.110000133514404,6.119999885559082,6.860000133514404,5.190000057220459,6.170000076293945,6.210000038146973,6.130000114440918,5.53000020980835,6.159999847412109,6.239999771118164,6.320000171661377,6.360000133514404,5.78000020980835,6.039999961853027
49152,7.190000057220459,7.440000057220459,6.699999809265137,7.53000020980835,7.190000057220459,7.840000152587891,8.180000305175781,7.5,6.480000019073486,6.71999979019165,6.349999904632568,7.159999847412109,7.159999847412109,7.289999961853027,7.760000228881836,7.199999809265137,6.960000038146973,7.190000057220459,8.069999694824219,7.269999980926514
65536,8.850000381469727,9.779999732971191,8.260000228881836,7.860000133514404,8.550000190734863,9.270000457763672,8.779999732971191,9.460000038146973,8.720000267028809,8.760000228881836,9.18000030517578,9.4399995803833,9.170000076293944,9.270000457763672,8.949999809265137,7.519999980926514,9.09000015258789,8.479999542236328,9.5600004196167,9.06999969482422
81920,10.56999969482422,10.859999656677246,9.609999656677246,10.90999984741211,10.220000267028809,10.350000381469728,10.760000228881836,10.800000190734863,10.609999656677246,9.670000076293944,10.170000076293944,8.979999542236328,10.130000114440918,11.390000343322754,10.93000030517578,10.479999542236328,11.140000343322754,9.5600004196167,10.859999656677246,10.550000190734863
98304,11.4399995803833,12.470000267028809,11.229999542236328,12.390000343322754,12.4399995803833,12.300000190734863,11.770000457763672,12.109999656677246,12.56999969482422,13.239999771118164,12.100000381469728,11.43000030517578,12.09000015258789,11.399999618530272,12.380000114440918,12.43000030517578,11.529999732971191,12.18000030517578,11.729999542236328,12.529999732971191
114688,12.8100004196167,13.489999771118164,12.739999771118164,13.529999732971191,12.649999618530272,12.84000015258789,12.90999984741211,13.9399995803833,13.460000038146973,12.90999984741211,13.18000030517578,13.420000076293944,12.920000076293944,12.869999885559082,13.399999618530272,13.880000114440918,13.640000343322754,13.34000015258789,13.579999923706056,13.010000228881836
131072,13.850000381469728,14.380000114440918,13.729999542236328,13.899999618530272,13.800000190734863,14.399999618530272,14.039999961853027,14.449999809265137,14.140000343322754,14.470000267028809,14.3100004196167,13.949999809265137,14.350000381469728,13.920000076293944,13.6899995803833,14.119999885559082,14.449999809265137,13.720000267028809,14.380000114440918,14.460000038146973
147456,14.579999923706056,14.859999656677246,14.15999984741211,14.739999771118164,14.68000030517578,14.630000114440918,14.1899995803833,14.359999656677246,14.4399995803833,14.550000190734863,14.65999984741211,14.510000228881836,14.6899995803833,14.630000114440918,14.119999885559082,14.520000457763672,14.670000076293944,14.449999809265137,14.5600004196167,14.390000343322754
163840,14.510000228881836,14.470000267028809,14.640000343322754,14.260000228881836,14.770000457763672,14.779999732971191,14.68000030517578,14.899999618530272,14.68000030517578,14.390000343322754,14.68000030517578,14.770000457763672,14.380000114440918,14.600000381469728,14.720000267028809,14.550000190734863,14.899999618530272,14.699999809265137,14.859999656677246,14.949999809265137
