Step,A2C_1,A2C_2,A2C_3,A2C_4,A2C_5,A2C_6,A2C_7,A2C_8,A2C_9,A2C_10,A2C_11,A2C_12,A2C_13,A2C_14,A2C_15,A2C_16,A2C_17,A2C_18,A2C_19,A2C_20
4000,6.730000019073486,6.150000095367432,6.570000171661377,7.130000114440918,6.380000114440918,6.989999771118164,7.320000171661377,5.989999771118164,6.619999885559082,6.550000190734863,6.920000076293945,6.739999771118164,6.489999771118164,6.710000038146973,6.619999885559082,6.78000020980835,7.179999828338623,6.050000190734863,6.550000190734863,7.019999980926514
8000,9.029999732971191,8.15999984741211,7.119999885559082,9.68000030517578,10.25,7.869999885559082,8.359999656677246,7.71999979019165,8.789999961853027,7.800000190734863,7.900000095367432,7.409999847412109,8.050000190734863,7.420000076293945,8.479999542236328,8.15999984741211,8.279999732971191,8.25,7.809999942779541,7.679999828338623
12000,9.699999809265137,9.8100004196167,9.460000038146973,10.470000267028809,11.359999656677246,9.1899995803833,8.720000267028809,10.3100004196167,9.970000267028809,9.510000228881836,10.529999732971191,9.75,9.34000015258789,9.470000267028809,9.979999542236328,10.100000381469728,9.90999984741211,10.510000228881836,10.550000190734863,9.140000343322754
16000,11.970000267028809,10.260000228881836,11.140000343322754,11.010000228881836,11.880000114440918,12.079999923706056,12.529999732971191,11.109999656677246,11.119999885559082,11.789999961853027,12.0,10.550000190734863,10.359999656677246,10.390000343322754,11.649999618530272,11.300000190734863,11.489999771118164,11.420000076293944,12.06999969482422,10.18000030517578
20000,12.93000030517578,12.18000030517578,10.970000267028809,12.25,14.09000015258789,12.34000015258789,13.489999771118164,10.949999809265137,11.43000030517578,12.81999969482422,11.890000343322754,10.93000030517578,11.600000381469728,12.449999809265137,13.630000114440918,11.989999771118164,13.34000015258789,11.93000030517578,12.079999923706056,12.4399995803833
24000,13.470000267028809,12.40999984741211,11.039999961853027,11.479999542236328,14.09000015258789,13.119999885559082,14.300000190734863,11.010000228881836,12.420000076293944,13.630000114440918,12.520000457763672,11.59000015258789,11.890000343322754,13.06999969482422,14.25,12.460000038146973,12.979999542236328,12.06999969482422,14.140000343322754,13.300000190734863
28000,14.25,11.770000457763672,12.15999984741211,12.31999969482422,14.630000114440918,13.130000114440918,14.479999542236328,11.869999885559082,12.5600004196167,13.869999885559082,13.5600004196167,12.75,13.5,13.989999771118164,14.149999618530272,13.970000267028809,13.989999771118164,11.5,14.329999923706056,14.539999961853027
32000,14.289999961853027,13.010000228881836,12.1899995803833,12.380000114440918,14.4399995803833,14.020000457763672,14.479999542236328,13.68000030517578,13.31999969482422,14.390000343322754,12.970000267028809,11.770000457763672,14.479999542236328,14.270000457763672,14.850000381469728,14.68000030517578,14.800000190734863,12.649999618530272,14.539999961853027,14.09000015258789
36000,15.0,14.220000267028809,12.020000457763672,12.390000343322754,14.770000457763672,14.630000114440918,14.5600004196167,14.600000381469728,14.220000267028809,14.68000030517578,13.550000190734863,12.420000076293944,14.399999618530272,14.539999961853027,14.770000457763672,14.739999771118164,14.90999984741211,12.539999961853027,14.579999923706056,14.369999885559082
40000,14.850000381469728,14.68000030517578,12.149999618530272,12.789999961853027,14.729999542236328,14.18000030517578,14.859999656677246,14.760000228881836,14.1899995803833,14.68000030517578,13.75,11.68000030517578,14.710000038146973,14.4399995803833,14.859999656677246,14.65999984741211,14.68000030517578,12.25,14.68000030517578,14.720000267028809
