Step,PPO_1,PPO_2,PPO_3,PPO_4,PPO_5,PPO_6,PPO_7,PPO_8,PPO_9,PPO_10,PPO_11,PPO_12,PPO_13,PPO_14,PPO_15,PPO_16,PPO_17,PPO_18,PPO_19,PPO_20
16384,4.480000019073486,4.909999847412109,4.650000095367432,4.449999809265137,4.389999866485596,5.230000019073486,4.119999885559082,4.28000020980835,4.619999885559082,4.429999828338623,5.099999904632568,4.800000190734863,4.119999885559082,4.789999961853027,5.329999923706055,5.559999942779541,4.409999847412109,4.239999771118164,5.110000133514404,4.869999885559082
32768,6.019999980926514,6.559999942779541,6.980000019073486,5.980000019073486,5.730000019073486,5.349999904632568,5.96999979019165,5.170000076293945,6.039999961853027,5.920000076293945,6.429999828338623,5.440000057220459,5.789999961853027,6.230000019073486,6.409999847412109,5.809999942779541,6.050000190734863,5.650000095367432,6.21999979019165,6.889999866485596
49152,7.179999828338623,7.869999885559082,7.289999961853027,7.21999979019165,7.489999771118164,7.829999923706055,6.679999828338623,7.070000171661377,7.800000190734863,8.210000038146973,6.480000019073486,8.510000228881836,7.820000171661377,7.53000020980835,7.619999885559082,7.429999828338623,7.210000038146973,7.579999923706055,7.75,7.110000133514404
65536,9.649999618530272,9.510000228881836,11.079999923706056,10.380000114440918,10.300000190734863,10.4399995803833,10.18000030517578,10.670000076293944,11.699999809265137,11.369999885559082,10.489999771118164,9.68000030517578,10.970000267028809,11.039999961853027,10.40999984741211,10.25,10.43000030517578,8.609999656677246,10.279999732971191,10.329999923706056
81920,12.800000190734863,11.8100004196167,12.15999984741211,13.0600004196167,13.039999961853027,12.829999923706056,12.369999885559082,13.329999923706056,13.31999969482422,12.369999885559082,12.100000381469728,12.380000114440918,12.869999885559082,13.239999771118164,12.229999542236328,12.130000114440918,12.760000228881836,11.460000038146973,11.550000190734863,13.010000228881836
98304,13.949999809265137,12.960000038146973,14.18000030517578,13.989999771118164,13.869999885559082,13.390000343322754,13.899999618530272,13.6899995803833,13.380000114440918,14.15999984741211,12.90999984741211,13.760000228881836,13.399999618530272,13.109999656677246,13.25,13.949999809265137,13.670000076293944,14.15999984741211,13.5600004196167,13.710000038146973
114688,14.56999969482422,14.06999969482422,14.579999923706056,14.300000190734863,14.199999809265137,13.539999961853027,14.670000076293944,14.859999656677246,14.130000114440918,14.699999809265137,14.420000076293944,14.229999542236328,14.289999961853027,14.449999809265137,13.859999656677246,14.09000015258789,14.0,14.149999618530272,14.029999732971191,14.279999732971191
131072,14.859999656677246,14.539999961853027,14.670000076293944,14.4399995803833,14.949999809265137,14.579999923706056,14.899999618530272,14.510000228881836,14.630000114440918,15.0,14.710000038146973,13.949999809265137,14.350000381469728,14.710000038146973,14.550000190734863,14.399999618530272,14.539999961853027,14.699999809265137,14.479999542236328,14.770000457763672
147456,14.640000343322754,14.720000267028809,14.81999969482422,14.850000381469728,15.0,14.859999656677246,14.789999961853027,14.8100004196167,14.8100004196167,14.949999809265137,14.8100004196167,14.630000114440918,14.859999656677246,14.520000457763672,14.90999984741211,14.859999656677246,14.729999542236328,14.770000457763672,14.649999618530272,15.0
163840,14.770000457763672,14.770000457763672,15.0,14.880000114440918,14.800000190734863,14.81999969482422,14.800000190734863,15.0,14.859999656677246,14.859999656677246,15.0,14.850000381469728,14.65999984741211,15.0,14.90999984741211,14.859999656677246,15.0,14.649999618530272,15.0,14.90999984741211
