Step,A2C_1,A2C_2,A2C_3,A2C_4,A2C_5,A2C_6,A2C_7,A2C_8,A2C_9,A2C_10,A2C_11,A2C_12,A2C_13,A2C_14,A2C_15,A2C_16,A2C_17,A2C_18,A2C_19,A2C_20
4000,16.450000762939453,15.84000015258789,15.130000114440918,12.149999618530272,14.029999732971191,12.779999732971191,18.600000381469727,13.0,15.260000228881836,16.450000762939453,16.649999618530273,14.789999961853027,12.789999961853027,14.220000267028809,10.720000267028809,13.630000114440918,16.110000610351562,12.489999771118164,18.600000381469727,13.829999923706056
8000,20.459999084472656,20.1299991607666,22.71999931335449,20.780000686645508,19.8799991607666,19.59000015258789,20.65999984741211,19.8700008392334,20.209999084472656,20.350000381469727,20.15999984741211,19.96999931335449,20.07999992370605,19.020000457763672,18.34000015258789,20.209999084472656,20.700000762939453,19.700000762939453,20.770000457763672,19.950000762939453
12000,20.82999992370605,20.88999938964844,26.440000534057617,25.899999618530277,20.530000686645508,23.71999931335449,20.170000076293945,20.940000534057617,20.540000915527344,25.5,20.559999465942383,20.600000381469727,20.459999084472656,20.709999084472656,21.31999969482422,21.600000381469727,22.479999542236328,20.59000015258789,20.940000534057617,20.88999938964844
16000,23.31999969482422,20.790000915527344,26.81999969482422,27.1299991607666,20.790000915527344,26.770000457763672,21.770000457763672,21.34000015258789,20.709999084472656,26.8799991607666,20.940000534057617,21.0,21.0,20.520000457763672,26.920000076293945,26.899999618530277,26.799999237060547,20.850000381469727,20.489999771118164,20.940000534057617
20000,26.780000686645508,20.799999237060547,27.25,26.75,20.649999618530277,27.799999237060547,27.239999771118164,27.020000457763672,21.0,28.0,21.0,20.729999542236328,21.0,20.850000381469727,27.020000457763672,27.149999618530277,27.709999084472656,21.0,20.790000915527344,21.0
24000,27.1299991607666,21.0,27.81999969482422,28.0,20.82999992370605,27.86000061035156,27.709999084472656,27.59000015258789,20.88999938964844,27.729999542236328,20.489999771118164,20.670000076293945,20.88999938964844,21.0,27.86000061035156,27.93000030517578,27.350000381469727,20.739999771118164,20.81999969482422,20.940000534057617
28000,27.93000030517578,21.0,27.8700008392334,28.0,20.82999992370605,28.0,28.0,27.729999542236328,21.0,28.0,21.0,20.88999938964844,21.0,21.0,27.709999084472656,27.93000030517578,28.0,21.0,20.799999237060547,21.0
32000,28.0,21.0,28.0,28.0,21.0,28.0,27.780000686645508,27.93000030517578,20.709999084472656,28.0,20.81999969482422,21.0,20.850000381469727,21.0,28.0,27.75,27.93000030517578,21.0,20.940000534057617,21.0
36000,27.799999237060547,21.0,27.8700008392334,27.8700008392334,21.0,27.799999237060547,28.0,27.780000686645508,20.940000534057617,28.0,21.0,20.780000686645508,20.88999938964844,21.0,28.0,28.0,28.0,21.0,21.0,20.88999938964844
40000,28.0,20.700000762939453,27.729999542236328,27.8700008392334,21.0,27.8700008392334,28.0,28.0,21.0,28.0,21.0,21.0,21.0,21.0,27.81999969482422,28.0,28.0,20.790000915527344,21.0,20.850000381469727
