Step,PPO_1,PPO_2,PPO_3,PPO_4,PPO_5,PPO_6,PPO_7,PPO_8,PPO_9,PPO_10,PPO_11,PPO_12,PPO_13,PPO_14,PPO_15,PPO_16,PPO_17,PPO_18,PPO_19,PPO_20
16384,3.859999895095825,4.619999885559082,4.159999847412109,4.300000190734863,4.110000133514404,5.010000228881836,4.369999885559082,4.650000095367432,4.650000095367432,3.9600000381469727,4.369999885559082,4.590000152587891,4.28000020980835,4.090000152587891,3.930000066757202,3.670000076293945,4.619999885559082,4.550000190734863,4.769999980926514,4.320000171661377
32768,6.940000057220459,6.869999885559082,6.960000038146973,6.989999771118164,6.650000095367432,6.539999961853027,5.179999828338623,6.260000228881836,6.300000190734863,6.300000190734863,7.619999885559082,7.28000020980835,6.130000114440918,5.28000020980835,6.639999866485596,7.820000171661377,7.380000114440918,6.309999942779541,7.900000095367432,6.71999979019165
49152,9.079999923706056,11.270000457763672,11.3100004196167,9.84000015258789,12.739999771118164,10.539999961853027,10.1899995803833,10.81999969482422,12.210000038146973,9.09000015258789,12.100000381469728,11.579999923706056,11.1899995803833,11.479999542236328,11.630000114440918,10.09000015258789,11.260000228881836,9.43000030517578,11.489999771118164,10.890000343322754
65536,14.449999809265137,15.390000343322754,13.880000114440918,13.1899995803833,14.43000030517578,14.56999969482422,12.470000267028809,16.329999923706055,15.5600004196167,12.4399995803833,15.40999984741211,15.390000343322754,13.710000038146973,14.40999984741211,14.399999618530272,14.850000381469728,15.020000457763672,14.960000038146973,14.25,15.050000190734863
81920,20.649999618530277,19.3700008392334,17.610000610351562,19.18000030517578,21.36000061035156,18.780000686645508,19.239999771118164,19.5,19.36000061035156,19.11000061035156,20.739999771118164,19.729999542236328,19.049999237060547,19.76000022888184,19.93000030517578,18.979999542236328,19.850000381469727,19.600000381469727,19.559999465942383,19.26000022888184
98304,24.440000534057617,23.32999992370605,23.43000030517578,23.3799991607666,23.049999237060547,23.82999992370605,23.81999969482422,23.8799991607666,22.520000457763672,23.059999465942383,23.84000015258789,24.38999938964844,24.06999969482422,22.36000061035156,22.899999618530277,22.489999771118164,23.459999084472656,23.190000534057617,23.030000686645508,21.59000015258789
114688,27.40999984741211,26.149999618530277,26.780000686645508,25.270000457763672,26.86000061035156,26.780000686645508,27.43000030517578,27.059999465942383,25.209999084472656,25.3700008392334,26.799999237060547,26.399999618530277,25.59000015258789,26.239999771118164,26.549999237060547,25.309999465942383,26.82999992370605,27.040000915527344,26.059999465942383,24.26000022888184
131072,27.780000686645508,27.170000076293945,27.1299991607666,26.6299991607666,27.520000457763672,27.01000022888184,27.670000076293945,27.459999084472656,26.399999618530277,27.100000381469727,27.65999984741211,27.86000061035156,26.93000030517578,27.520000457763672,27.57999992370605,27.07999992370605,27.309999465942383,27.86000061035156,27.25,26.850000381469727
147456,28.0,27.93000030517578,27.540000915527344,27.71999931335449,27.93000030517578,27.63999938964844,27.57999992370605,27.8700008392334,27.790000915527344,27.75,27.93000030517578,27.729999542236328,27.61000061035156,28.0,27.520000457763672,27.790000915527344,28.0,28.0,27.51000022888184,27.3700008392334
163840,19.729999542236328,25.040000915527344,27.780000686645508,25.65999984741211,25.790000915527344,25.229999542236328,28.0,25.1299991607666,28.0,22.239999771118164,19.82999992370605,24.309999465942383,26.63999938964844,28.0,27.51000022888184,22.56999969482422,26.81999969482422,17.09000015258789,27.450000762939453,27.649999618530277
