Step,A2C_1,A2C_2,A2C_3,A2C_4,A2C_5,A2C_6,A2C_7,A2C_8,A2C_9,A2C_10,A2C_11,A2C_12,A2C_13,A2C_14,A2C_15,A2C_16,A2C_17,A2C_18,A2C_19,A2C_20
4000,5.960000038146973,7.380000114440918,5.050000190734863,5.309999942779541,7.150000095367432,6.28000020980835,5.900000095367432,5.329999923706055,6.210000038146973,7.400000095367432,5.380000114440918,6.059999942779541,5.289999961853027,5.619999885559082,5.03000020980835,6.75,5.849999904632568,5.769999980926514,5.53000020980835,7.960000038146973
8000,12.890000343322754,14.899999618530272,8.859999656677246,8.819999694824219,12.31999969482422,7.630000114440918,9.239999771118164,12.199999809265137,14.039999961853027,18.59000015258789,10.43000030517578,9.260000228881836,9.109999656677246,8.15999984741211,7.179999828338623,13.630000114440918,6.789999961853027,11.020000457763672,12.6899995803833,17.6299991607666
12000,19.6200008392334,19.8700008392334,18.420000076293945,13.90999984741211,14.260000228881836,10.920000076293944,14.31999969482422,14.850000381469728,20.5,20.420000076293945,24.51000022888184,16.700000762939453,14.039999961853027,13.760000228881836,15.56999969482422,19.729999542236328,13.100000381469728,17.719999313354492,19.190000534057617,20.6200008392334
16000,20.540000915527344,20.489999771118164,20.709999084472656,23.84000015258789,14.949999809265137,26.1299991607666,14.829999923706056,14.880000114440918,20.649999618530277,20.670000076293945,27.25,19.940000534057617,20.030000686645508,19.020000457763672,24.65999984741211,20.780000686645508,17.649999618530273,19.959999084472656,20.40999984741211,20.81999969482422
20000,20.149999618530277,20.82999992370605,20.6200008392334,27.739999771118164,15.0,27.149999618530277,15.0,15.0,20.540000915527344,21.06999969482422,28.0,20.59000015258789,20.739999771118164,26.8799991607666,28.0,21.0,20.6299991607666,20.450000762939453,21.0,21.0
24000,21.0,21.0,21.0,27.739999771118164,15.0,27.709999084472656,15.0,14.949999809265137,20.739999771118164,20.850000381469727,27.75,20.790000915527344,20.82999992370605,27.8700008392334,27.61000061035156,20.940000534057617,20.8799991607666,25.57999992370605,21.0,20.709999084472656
28000,21.0,21.0,21.0,28.0,15.0,27.600000381469727,14.880000114440918,15.0,20.850000381469727,21.420000076293945,27.8700008392334,20.670000076293945,20.82999992370605,27.670000076293945,27.8700008392334,21.0,20.520000457763672,27.030000686645508,21.0,20.8799991607666
32000,21.0,21.0,20.770000457763672,28.0,15.0,28.0,15.0,15.0,21.0,27.190000534057617,28.0,20.850000381469727,20.88999938964844,27.51000022888184,27.780000686645508,21.0,20.940000534057617,26.940000534057617,20.850000381469727,21.0
36000,20.940000534057617,21.0,21.0,27.729999542236328,15.010000228881836,28.0,15.0,15.0,21.0,27.780000686645508,28.0,21.0,21.0,28.0,28.0,21.0,21.0,27.57999992370605,21.0,21.0
40000,21.0,21.0,21.0,28.0,15.390000343322754,28.0,15.0,15.0,21.0,28.0,27.93000030517578,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
44000,21.0,21.0,20.88999938964844,28.0,20.68000030517578,28.0,15.0,15.0,21.0,27.799999237060547,28.0,21.0,21.0,27.729999542236328,28.0,21.0,21.0,28.0,21.0,21.0
48000,21.0,21.0,21.0,27.600000381469727,20.790000915527344,27.459999084472656,15.0,15.0,21.0,27.93000030517578,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
52000,21.0,21.0,21.0,28.0,20.940000534057617,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,20.940000534057617
56000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,27.489999771118164,27.38999938964844,21.0,21.0,28.0,28.0,20.88999938964844,21.0,28.0,21.0,20.81999969482422
60000,21.0,21.0,21.0,28.0,21.0,28.0,15.0,15.0,21.0,28.0,28.0,21.0,21.0,28.0,28.0,21.0,21.0,28.0,21.0,21.0
