Step,PPO_1,PPO_2,PPO_3,PPO_4,PPO_5,PPO_6,PPO_7,PPO_8,PPO_9,PPO_10,PPO_11,PPO_12,PPO_13,PPO_14,PPO_15,PPO_16,PPO_17,PPO_18,PPO_19,PPO_20
16384,4.289999961853027,4.550000190734863,4.460000038146973,4.119999885559082,4.929999828338623,3.640000104904175,4.590000152587891,4.21999979019165,4.150000095367432,4.03000020980835,3.890000104904175,3.7300000190734863,4.159999847412109,3.509999990463257,4.869999885559082,5.25,4.579999923706055,3.680000066757202,4.440000057220459,4.5
32768,7.010000228881836,6.179999828338623,7.769999980926514,6.679999828338623,7.03000020980835,6.340000152587891,5.869999885559082,7.059999942779541,5.829999923706055,6.690000057220459,7.230000019073486,7.840000152587891,6.090000152587891,5.920000076293945,6.460000038146973,6.28000020980835,6.28000020980835,6.849999904632568,5.71999979019165,7.480000019073486
49152,8.90999984741211,9.609999656677246,10.399999618530272,10.90999984741211,8.239999771118164,10.670000076293944,9.140000343322754,9.350000381469728,9.420000076293944,10.75,9.5600004196167,9.520000457763672,9.039999961853027,10.09000015258789,10.609999656677246,12.010000228881836,9.81999969482422,9.0,9.520000457763672,8.90999984741211
65536,12.640000343322754,13.970000267028809,13.039999961853027,14.0,13.260000228881836,12.880000114440918,14.09000015258789,13.789999961853027,13.609999656677246,14.210000038146973,14.579999923706056,14.100000381469728,12.479999542236328,14.0600004196167,12.970000267028809,13.770000457763672,12.1899995803833,14.529999732971191,13.510000228881836,13.079999923706056
81920,16.510000228881836,15.18000030517578,16.5,17.110000610351562,15.100000381469728,16.770000457763672,16.059999465942383,17.549999237060547,17.329999923706055,16.6200008392334,16.549999237060547,17.649999618530273,17.149999618530273,17.549999237060547,16.15999984741211,16.579999923706055,15.550000190734863,17.270000457763672,16.790000915527344,15.670000076293944
98304,19.18000030517578,18.93000030517578,21.11000061035156,20.40999984741211,17.90999984741211,18.899999618530277,21.059999465942383,19.65999984741211,20.18000030517578,18.68000030517578,19.71999931335449,18.809999465942383,19.459999084472656,19.049999237060547,17.739999771118164,19.149999618530277,18.809999465942383,20.6200008392334,20.0,19.399999618530277
114688,21.209999084472656,21.549999237060547,22.68000030517578,23.170000076293945,22.520000457763672,20.790000915527344,22.270000457763672,22.0,23.13999938964844,22.790000915527344,24.34000015258789,23.31999969482422,21.979999542236328,22.020000457763672,21.8799991607666,21.57999992370605,22.5,22.59000015258789,21.6299991607666,22.399999618530277
131072,24.229999542236328,25.170000076293945,25.57999992370605,25.479999542236328,25.489999771118164,24.8799991607666,25.81999969482422,24.049999237060547,25.8799991607666,25.84000015258789,24.940000534057617,25.209999084472656,24.21999931335449,24.63999938964844,23.989999771118164,25.809999465942383,24.899999618530277,25.100000381469727,24.90999984741211,24.940000534057617
147456,25.07999992370605,26.290000915527344,26.06999969482422,26.020000457763672,26.6299991607666,26.3700008392334,26.530000686645508,26.84000015258789,26.90999984741211,26.8799991607666,26.8700008392334,26.5,26.57999992370605,27.11000061035156,25.84000015258789,27.100000381469727,26.51000022888184,27.600000381469727,26.530000686645508,26.5
163840,26.65999984741211,27.38999938964844,27.729999542236328,27.56999969482422,26.940000534057617,27.049999237060547,27.75,27.350000381469727,27.65999984741211,27.209999084472656,27.38999938964844,27.59000015258789,26.780000686645508,26.809999465942383,27.46999931335449,26.88999938964844,27.059999465942383,27.450000762939453,27.190000534057617,27.790000915527344
