Step,A2C_1,A2C_2,A2C_3,A2C_4,A2C_5,A2C_6,A2C_7,A2C_8,A2C_9,A2C_10,A2C_11,A2C_12,A2C_13,A2C_14,A2C_15,A2C_16,A2C_17,A2C_18,A2C_19,A2C_20
4000,5.590000152587891,6.25,8.289999961853027,6.429999828338623,9.020000457763672,9.609999656677246,7.349999904632568,6.989999771118164,9.039999961853027,7.699999809265137,7.730000019073486,6.159999847412109,5.849999904632568,7.079999923706055,5.980000019073486,8.829999923706055,5.789999961853027,7.940000057220459,6.789999961853027,5.119999885559082
8000,12.829999923706056,10.279999732971191,17.93000030517578,12.479999542236328,14.550000190734863,19.18000030517578,14.289999961853027,15.550000190734863,13.869999885559082,15.670000076293944,13.859999656677246,11.84000015258789,12.68000030517578,12.020000457763672,10.6899995803833,19.36000061035156,11.779999732971191,17.270000457763672,11.770000457763672,8.819999694824219
12000,19.299999237060547,13.619999885559082,20.440000534057617,14.850000381469728,14.949999809265137,20.63999938964844,20.149999618530277,20.440000534057617,20.6200008392334,19.8799991607666,21.86000061035156,14.979999542236328,18.3799991607666,20.549999237060547,15.3100004196167,20.68000030517578,19.6299991607666,20.81999969482422,18.979999542236328,13.050000190734863
16000,20.770000457763672,14.670000076293944,20.940000534057617,15.0,14.859999656677246,20.739999771118164,20.940000534057617,20.489999771118164,20.940000534057617,20.850000381469727,27.36000061035156,18.81999969482422,20.1200008392334,20.790000915527344,20.209999084472656,20.799999237060547,20.56999969482422,20.739999771118164,20.32999992370605,19.229999542236328
20000,20.8799991607666,14.859999656677246,20.8799991607666,14.859999656677246,15.0,20.940000534057617,21.0,21.0,20.739999771118164,20.780000686645508,27.15999984741211,20.68000030517578,20.670000076293945,21.0,20.6200008392334,21.0,20.739999771118164,21.0,21.0,20.739999771118164
24000,21.0,14.90999984741211,21.0,14.90999984741211,14.90999984741211,21.0,21.0,21.0,20.940000534057617,20.739999771118164,27.8700008392334,20.81999969482422,20.739999771118164,20.6200008392334,20.940000534057617,21.0,20.8799991607666,21.0,20.940000534057617,20.8799991607666
28000,20.940000534057617,14.880000114440918,21.0,14.859999656677246,15.0,20.940000534057617,21.0,21.0,21.0,20.850000381469727,27.649999618530277,20.51000022888184,20.530000686645508,21.0,20.940000534057617,20.850000381469727,21.0,20.82999992370605,21.0,20.5
32000,21.0,15.0,21.0,18.450000762939453,14.949999809265137,21.0,21.0,21.0,20.940000534057617,21.0,28.0,21.0,20.850000381469727,21.0,21.0,21.0,21.0,20.940000534057617,20.790000915527344,21.0
36000,20.940000534057617,14.770000457763672,21.0,26.540000915527344,15.0,20.88999938964844,21.0,21.0,21.0,21.0,27.780000686645508,21.0,20.88999938964844,21.0,21.0,21.0,21.0,21.0,20.940000534057617,20.940000534057617
40000,21.0,15.0,21.0,27.670000076293945,15.0,21.0,21.0,21.0,21.0,21.0,28.0,20.940000534057617,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
44000,20.81999969482422,15.0,21.0,27.8700008392334,15.0,21.0,21.0,20.940000534057617,20.850000381469727,21.0,28.0,21.0,21.0,20.81999969482422,21.0,21.0,21.0,21.0,21.0,20.739999771118164
48000,21.0,15.0,21.0,27.8700008392334,15.0,21.0,20.850000381469727,21.0,21.0,21.0,28.0,21.0,21.0,20.850000381469727,21.0,21.0,20.8799991607666,21.0,21.0,21.0
52000,21.0,15.0,21.0,27.600000381469727,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,20.940000534057617,21.0,21.0,21.0,21.0
56000,21.0,14.949999809265137,21.0,28.0,15.0,21.0,21.0,20.88999938964844,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.940000534057617
60000,21.0,15.0,21.0,27.729999542236328,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,20.88999938964844,21.0,20.81999969482422,21.0,21.0,21.0,21.0,21.0
64000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,27.8700008392334,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
68000,20.940000534057617,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,20.850000381469727,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
72000,21.0,15.0,21.0,27.8700008392334,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.940000534057617
76000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,20.940000534057617,21.0,21.0,21.0,21.0,21.0,21.0
80000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,20.850000381469727,21.0
84000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
88000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
92000,21.0,14.949999809265137,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
96000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
100000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
104000,21.0,15.0,21.0,27.8700008392334,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
108000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
112000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,20.799999237060547,21.0,21.0,21.0,21.0,21.0
116000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
120000,21.0,15.0,21.0,27.93000030517578,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
124000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
128000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
132000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
136000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
140000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
144000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
148000,21.0,15.0,21.0,28.0,15.0,21.0,21.0,21.0,21.0,21.0,28.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0,21.0
