Step,A2C_1,A2C_2,A2C_3,A2C_4,A2C_5,A2C_6,A2C_7,A2C_8,A2C_9,A2C_10,A2C_11,A2C_12,A2C_13,A2C_14,A2C_15,A2C_16,A2C_17,A2C_18,A2C_19,A2C_20
4000,18.280000686645508,20.01000022888184,19.57999992370605,18.09000015258789,20.31999969482422,16.110000610351562,17.59000015258789,17.290000915527344,20.309999465942383,16.3799991607666,18.59000015258789,19.8700008392334,18.010000228881836,17.209999084472656,14.800000190734863,17.40999984741211,19.040000915527344,17.600000381469727,12.579999923706056,14.829999923706056
8000,20.559999465942383,20.479999542236328,20.38999938964844,20.649999618530277,20.68000030517578,20.420000076293945,20.40999984741211,20.5,27.93000030517578,27.049999237060547,20.440000534057617,20.649999618530277,20.729999542236328,20.540000915527344,26.88999938964844,20.63999938964844,20.8799991607666,20.440000534057617,14.729999542236328,20.3700008392334
12000,20.82999992370605,20.459999084472656,24.209999084472656,20.43000030517578,20.790000915527344,20.61000061035156,26.100000381469727,20.700000762939453,27.63999938964844,27.709999084472656,20.68000030517578,20.8799991607666,20.670000076293945,21.0,27.36000061035156,21.0,22.040000915527344,26.799999237060547,22.979999542236328,20.700000762939453
16000,20.799999237060547,20.850000381469727,27.709999084472656,20.649999618530277,21.0,20.88999938964844,27.239999771118164,20.790000915527344,27.93000030517578,28.0,20.88999938964844,20.709999084472656,20.700000762939453,20.850000381469727,27.549999237060547,21.0,27.229999542236328,27.93000030517578,27.229999542236328,21.0
20000,20.88999938964844,20.850000381469727,27.799999237060547,21.0,21.0,21.0,27.75,21.0,27.799999237060547,28.0,21.0,20.739999771118164,21.0,20.850000381469727,27.81999969482422,21.0,26.940000534057617,27.709999084472656,27.07999992370605,20.88999938964844
24000,20.8799991607666,20.940000534057617,27.6200008392334,20.670000076293945,20.81999969482422,21.0,28.0,21.0,27.93000030517578,27.729999542236328,21.0,20.81999969482422,20.940000534057617,20.81999969482422,27.649999618530277,21.0,28.0,27.280000686645508,27.8700008392334,20.68000030517578
28000,20.670000076293945,20.940000534057617,27.93000030517578,20.71999931335449,21.0,21.0,27.75,20.850000381469727,28.0,27.780000686645508,20.81999969482422,20.8799991607666,21.0,20.850000381469727,27.780000686645508,20.8799991607666,27.75,27.780000686645508,27.739999771118164,20.940000534057617
32000,20.649999618530277,20.88999938964844,27.799999237060547,20.82999992370605,20.76000022888184,21.0,27.780000686645508,20.850000381469727,28.0,27.8700008392334,20.790000915527344,20.940000534057617,20.76000022888184,20.739999771118164,27.8700008392334,20.940000534057617,28.0,27.93000030517578,28.0,21.0
36000,21.0,21.0,27.71999931335449,21.0,21.0,20.940000534057617,28.0,20.82999992370605,27.81999969482422,27.709999084472656,20.88999938964844,21.0,20.940000534057617,20.790000915527344,27.93000030517578,20.799999237060547,27.799999237060547,28.0,27.81999969482422,20.76000022888184
40000,21.0,21.0,28.0,20.81999969482422,21.0,20.739999771118164,27.81999969482422,21.0,27.8700008392334,27.799999237060547,20.549999237060547,20.479999542236328,20.850000381469727,21.0,28.0,21.0,27.780000686645508,27.93000030517578,28.0,20.790000915527344
44000,21.0,21.0,27.93000030517578,21.0,21.0,21.0,27.729999542236328,20.940000534057617,27.780000686645508,27.81999969482422,20.940000534057617,20.850000381469727,21.0,21.0,28.0,20.790000915527344,27.780000686645508,27.780000686645508,27.600000381469727,21.0
48000,20.81999969482422,20.940000534057617,27.93000030517578,21.0,20.81999969482422,21.0,28.0,20.850000381469727,28.0,27.479999542236328,20.309999465942383,21.0,20.940000534057617,21.0,27.8700008392334,21.0,27.799999237060547,27.93000030517578,27.8700008392334,20.479999542236328
52000,20.940000534057617,21.0,27.780000686645508,21.0,20.88999938964844,21.0,27.93000030517578,21.0,27.93000030517578,27.86000061035156,20.88999938964844,20.51000022888184,20.690000534057617,20.940000534057617,27.81999969482422,21.0,28.0,27.07999992370605,27.649999618530277,20.8799991607666
56000,21.0,20.940000534057617,28.0,21.0,21.0,21.0,27.93000030517578,21.0,27.780000686645508,27.32999992370605,21.0,21.0,21.0,20.739999771118164,28.0,20.940000534057617,28.0,27.75,27.479999542236328,21.0
60000,20.850000381469727,21.0,28.0,21.0,21.0,20.940000534057617,27.8700008392334,20.940000534057617,27.93000030517578,27.600000381469727,21.0,21.0,20.88999938964844,21.0,28.0,21.0,27.780000686645508,27.93000030517578,27.8700008392334,21.0
64000,20.88999938964844,21.0,28.0,21.0,21.0,21.0,27.670000076293945,21.0,28.0,28.0,21.0,20.850000381469727,21.0,20.850000381469727,28.0,21.0,27.649999618530277,27.729999542236328,28.0,20.940000534057617
68000,20.940000534057617,20.850000381469727,27.93000030517578,21.0,21.0,21.0,27.93000030517578,20.81999969482422,28.0,28.0,21.0,21.0,21.0,21.0,28.0,21.0,28.0,27.86000061035156,27.81999969482422,20.700000762939453
72000,20.940000534057617,20.81999969482422,28.0,21.0,20.799999237060547,20.850000381469727,27.93000030517578,21.0,28.0,27.8700008392334,20.81999969482422,20.549999237060547,21.0,20.88999938964844,27.799999237060547,20.940000534057617,27.8700008392334,27.780000686645508,27.729999542236328,20.88999938964844
76000,21.0,21.0,28.0,21.0,21.0,21.0,27.780000686645508,21.0,27.780000686645508,27.93000030517578,20.76000022888184,21.0,20.850000381469727,21.0,27.8700008392334,20.82999992370605,28.0,28.0,28.0,21.0
