Step,PPO_1,PPO_2,PPO_3,PPO_4,PPO_5,PPO_6,PPO_7,PPO_8,PPO_9,PPO_10,PPO_11,PPO_12,PPO_13,PPO_14,PPO_15,PPO_16,PPO_17,PPO_18,PPO_19,PPO_20
16384,4.170000076293945,4.429999828338623,4.110000133514404,4.150000095367432,3.920000076293945,3.839999914169312,4.179999828338623,4.010000228881836,4.269999980926514,3.7799999713897705,4.320000171661377,5.059999942779541,3.7100000381469727,4.25,4.070000171661377,3.7300000190734863,3.990000009536743,4.570000171661377,4.420000076293945,4.28000020980835
32768,8.100000381469727,8.010000228881836,6.510000228881836,6.510000228881836,7.130000114440918,8.8100004196167,6.489999771118164,7.380000114440918,7.480000019073486,7.5,7.570000171661377,6.449999809265137,7.079999923706055,7.989999771118164,7.800000190734863,7.090000152587891,6.570000171661377,6.050000190734863,6.409999847412109,7.630000114440918
49152,10.899999618530272,11.479999542236328,11.789999961853027,12.8100004196167,11.829999923706056,11.460000038146973,13.56999969482422,12.140000343322754,12.25,11.710000038146973,12.270000457763672,12.0,11.739999771118164,10.279999732971191,11.630000114440918,12.760000228881836,11.270000457763672,10.56999969482422,12.84000015258789,13.3100004196167
65536,17.100000381469727,15.84000015258789,16.649999618530273,16.639999389648438,16.610000610351562,14.920000076293944,16.3799991607666,16.780000686645508,15.390000343322754,17.200000762939453,16.420000076293945,16.920000076293945,15.479999542236328,16.209999084472656,15.539999961853027,15.770000457763672,16.670000076293945,16.600000381469727,15.65999984741211,16.43000030517578
81920,21.82999992370605,22.43000030517578,21.56999969482422,22.739999771118164,21.170000076293945,21.540000915527344,21.700000762939453,21.190000534057617,20.81999969482422,23.15999984741211,21.36000061035156,23.61000061035156,20.420000076293945,20.549999237060547,22.40999984741211,21.959999084472656,21.38999938964844,20.75,21.46999931335449,22.84000015258789
98304,26.71999931335449,25.13999938964844,25.229999542236328,25.5,24.280000686645508,24.59000015258789,24.200000762939453,26.18000030517578,23.040000915527344,24.88999938964844,25.32999992370605,26.229999542236328,25.63999938964844,25.13999938964844,24.59000015258789,25.57999992370605,25.18000030517578,26.26000022888184,26.06999969482422,26.200000762939453
114688,27.51000022888184,27.11000061035156,27.57999992370605,27.729999542236328,27.059999465942383,26.6200008392334,27.43000030517578,27.71999931335449,26.1200008392334,27.65999984741211,27.649999618530277,24.6200008392334,27.09000015258789,26.700000762939453,23.93000030517578,27.26000022888184,26.959999084472656,21.200000762939453,27.350000381469727,21.559999465942383
131072,21.950000762939453,21.940000534057617,14.890000343322754,13.920000076293944,25.32999992370605,25.190000534057617,13.350000381469728,24.61000061035156,24.440000534057617,26.979999542236328,27.93000030517578,26.309999465942383,25.739999771118164,23.299999237060547,21.770000457763672,12.81999969482422,27.68000030517578,26.809999465942383,26.049999237060547,24.46999931335449
147456,20.940000534057617,24.88999938964844,23.649999618530277,21.649999618530277,24.86000061035156,27.09000015258789,17.700000762939453,27.09000015258789,27.649999618530277,26.440000534057617,21.770000457763672,20.6200008392334,28.0,24.31999969482422,27.729999542236328,25.86000061035156,22.51000022888184,16.520000457763672,21.56999969482422,25.1299991607666
163840,27.21999931335449,22.899999618530277,26.3799991607666,22.38999938964844,27.3799991607666,14.350000381469728,22.850000381469727,17.239999771118164,13.59000015258789,25.809999465942383,24.170000076293945,25.0,22.26000022888184,21.229999542236328,14.220000267028809,19.82999992370605,18.770000457763672,21.75,24.600000381469727,26.239999771118164
